time,step,value
1732494305.1673589,161903,158.0
1732494307.4101913,162015,158.0
1732494309.0107436,162095,158.0
1732494322.4569736,162767,158.0
1732494333.9068382,163327,159.0
1732494342.886528,163775,159.0
1732494343.5393238,163807,159.0
1732494343.8589814,163823,159.0
1732494344.310219,163839,159.0
1732494349.710278,164079,160.0
1732494351.632742,164175,160.0
1732494353.2321432,164255,160.0
1732494362.5139773,164719,160.0
1732494366.886476,164927,161.0
1732494370.406877,165103,161.0
1732494373.6068146,165263,161.0
1732494374.886427,165327,161.0
1732494375.2066975,165343,161.0
1732494384.1915445,165791,161.0
1732494386.9667556,165919,162.0
1732494394.3307583,166287,162.0
1732494394.650311,166303,162.0
1732494398.5468647,166495,162.0
1732494408.3737786,166975,163.0
1732494411.2550242,167119,163.0
1732494416.6934319,167391,163.0
1732494418.29313,167471,163.0
1732494421.1720996,167615,163.0
1732494423.7298245,167743,163.0
1732494426.2898583,167871,163.0
1732494431.626713,168127,164.0
1732494441.2260084,168607,164.0
1732494444.4269748,168767,164.0
1732494456.162067,169343,165.0
1732494459.0398798,169487,165.0
1732494459.3598003,169503,165.0
1732494461.2764478,169599,165.0
1732494466.3893971,169855,165.0
1732494468.624793,169967,165.0
1732494477.4735212,170399,166.0
1732494477.793267,170415,166.0
1732494480.66854,170559,166.0
1732494482.266419,170639,166.0
1732494485.7825322,170815,166.0
1732494488.6596892,170959,166.0
1732494493.0320792,171167,167.0
1732494505.178063,171775,167.0
1732494506.1379116,171823,167.0
1732494509.0131714,171967,167.0
1732494516.8996751,172351,168.0
1732494518.1776881,172415,168.0
1732494521.1072652,172559,168.0
1732494525.685141,172783,168.0
1732494527.624363,172879,168.0
1732494528.273659,172911,168.0
1732494539.290635,173439,169.0
1732494541.2752333,173535,169.0
1732494543.2274182,173631,169.0
1732494543.890897,173663,169.0
1732494547.480889,173839,169.0
1732494549.100495,173919,169.0
1732494553.6275706,174127,170.0
1732494556.558351,174271,170.0
1732494561.7317564,174527,170.0
1732494569.7214808,174927,170.0
1732494575.6933079,175215,171.0
1732494578.5726938,175359,171.0
1732494584.3274016,175647,171.0
1732494592.9629307,176079,171.0
1732494600.222195,176431,172.0
1732494600.861669,176463,172.0
1732494601.1802728,176479,172.0
1732494617.3831325,177279,173.0
1732494619.9424322,177407,173.0
1732494620.9017746,177455,173.0
1732494623.7779834,177599,173.0
1732494635.8292596,178191,174.0
1732494645.7356267,178687,174.0
1732494652.1278126,179007,174.0
1732494658.101748,179295,175.0
1732494668.0076697,179791,175.0
1732494670.5633566,179919,175.0
1732494671.2027285,179951,175.0
1732494681.9679258,180479,176.0
1732494687.401501,180751,176.0
1732494691.8744683,180975,176.0
1732494693.7922585,181071,176.0
1732494702.6456683,181503,177.0
1732494703.6057105,181551,177.0
1732494703.9249046,181567,177.0
1732494705.8432956,181663,177.0
1732494706.4833157,181695,177.0
1732494711.916196,181967,177.0
1732494714.4735107,182095,177.0
1732494717.3531587,182239,177.0
1732494722.0528276,182463,178.0
1732494727.167928,182719,178.0
1732494739.5334585,183327,179.0
1732494743.3729334,183519,179.0
1732494744.0133288,183551,179.0
1732494747.2096817,183711,179.0
1732494750.7237136,183887,179.0
1732494755.216945,184111,179.0
1732494755.8567536,184143,179.0
1732494761.1899307,184399,180.0
1732494767.2616546,184703,180.0
1732494778.7733064,185279,180.0
1732494787.3089688,185695,181.0
1732494789.2286482,185791,181.0
1732494792.109027,185935,181.0
1732494801.6142957,186399,182.0
1732494808.981443,186767,182.0
1732494809.3000717,186783,182.0
1732494815.0644274,187071,182.0
1732494823.9058466,187503,183.0
1732494825.5033822,187583,183.0
1732494834.1345758,188015,183.0
1732494836.6950443,188143,183.0
1732494838.2942655,188223,183.0
1732494838.933287,188255,183.0
1732494839.2530947,188271,183.0
1732494845.5383177,188575,184.0
1732494847.1361887,188655,184.0
1732494851.6133497,188879,184.0
1732494854.8132725,189039,184.0
1732494856.413335,189119,184.0
1732494858.6529183,189231,184.0
1732494864.619295,189519,185.0
1732494868.4556406,189711,185.0
1732494879.7934978,190271,185.0
1732494882.7260008,190415,185.0
1732494898.0223303,191167,186.0
1732494899.6225262,191247,186.0
1732494904.4181201,191487,186.0
1732494907.8320448,191647,187.0
1732494909.109899,191711,187.0
1732494914.2235742,191967,187.0
1732494918.376318,192175,187.0
1732494924.769165,192495,187.0
1732494927.5456376,192623,188.0
1732494930.099757,192751,188.0
1732494941.6064916,193327,188.0
1732494947.8964975,193631,189.0
1732494948.8555915,193679,189.0
1732494953.9697356,193935,189.0
1732494959.0859814,194191,189.0
1732494981.7767136,195311,190.0
1732494984.6576219,195455,190.0
1732494994.5064533,195935,191.0
1732495000.58587,196239,191.0
1732495001.5443668,196287,191.0
1732495008.987358,196623,192.0
1732495029.6684616,197647,193.0
1732495031.586541,197743,193.0
1732495032.226373,197775,193.0
1732495038.9405446,198111,193.0
1732495045.9854553,198463,193.0
1732495055.1626651,198911,194.0
1732495069.8631227,199647,194.0
1732495078.7115648,200079,195.0
1732495097.459378,201007,196.0
1732495102.573291,201263,196.0
1732495112.376062,201743,197.0
1732495114.9364152,201871,197.0
1732495121.6556892,202207,197.0
1732495129.6498578,202607,197.0
1732495131.2487838,202687,197.0
1732495135.3120136,202879,198.0
1732495139.4648685,203087,198.0
1732495141.3825762,203183,198.0
1732495154.7098572,203839,199.0
1732495155.0294933,203855,199.0
1732495156.6280198,203935,199.0
1732495161.4200246,204175,199.0
1732495179.8656387,205087,200.0
1732495185.295659,205359,200.0
1732495193.9251578,205791,200.0
1732495194.2445989,205807,200.0
1732495196.6959186,205919,201.0
1732495200.5331886,206111,201.0
1732495204.3698392,206303,201.0
1732495209.1664555,206543,201.0
1732495210.4443192,206607,201.0
1732495215.7735057,206863,202.0
1732495221.5281067,207151,202.0
1732495227.286349,207439,202.0
1732495232.0825503,207679,202.0
1732495235.279618,207839,202.0
1732495236.0465379,207871,202.0
1732495239.9718146,208063,203.0
1732495240.2916212,208079,203.0
1732495241.5690858,208143,203.0
1732495250.5225475,208591,203.0
1732495258.742541,208991,204.0
1732495269.2901685,209519,204.0
1732495274.0899053,209759,204.0
1732495285.487876,210319,205.0
1732495287.0860214,210399,205.0
1732495302.32887,211151,206.0
1732495303.6065924,211215,206.0
1732495310.0082722,211535,206.0
1732495325.5741992,212303,207.0
1732495333.8927264,212719,207.0
1732495334.8533564,212767,207.0
1732495348.1783323,213423,208.0
1732495353.294463,213679,208.0
1732495364.381779,214223,209.0
1732495369.1830869,214463,209.0
1732495371.7421124,214591,209.0
1732495373.6587253,214687,209.0
1732495384.1106975,215199,210.0
1732495389.5440152,215471,210.0
1732495390.502803,215519,210.0
1732495391.4623687,215567,210.0
1732495395.623138,215775,210.0
1732495404.152637,216191,211.0
1732495409.9057665,216479,211.0
1732495412.1428149,216591,211.0
1732495414.3806367,216703,211.0
1732495421.4087431,217055,211.0
1732495428.0392938,217375,212.0
1732495432.2129736,217583,212.0
1732495443.3236358,218127,213.0
1732495450.676259,218495,213.0
1732495451.6360059,218543,213.0
1732495455.7972543,218751,213.0
1732495457.0758097,218815,213.0
1732495458.9933136,218911,213.0
1732495472.6350024,219583,214.0
1732495472.955033,219599,214.0
1732495479.0245862,219903,214.0
1732495479.9820132,219951,214.0
1732495482.5365071,220079,214.0
1732495482.856918,220095,214.0
1732495483.1758964,220111,214.0
1732495484.9901254,220191,215.0
1732495491.3861127,220511,215.0
1732495492.0258865,220543,215.0
1732495497.7852304,220831,215.0
1732495513.6721177,221615,216.0
1732495518.152791,221839,216.0
1732495520.0695739,221935,216.0
1732495530.8347564,222463,217.0
1732495543.936523,223119,217.0
1732495552.79354,223551,218.0
1732495561.42314,223983,218.0
1732495563.021113,224063,218.0
1732495564.939653,224159,218.0
1732495572.188944,224511,219.0
1732495580.1799524,224911,219.0
1732495584.0155175,225103,219.0
1732495584.3355324,225119,219.0
1732495586.255387,225215,219.0
1732495589.0354128,225343,220.0
1732495594.4729974,225615,220.0
1732495598.3177328,225807,220.0
1732495600.2396286,225903,220.0
1732495606.6354585,226223,220.0
1732495607.9142654,226287,220.0
1732495615.4791691,226655,221.0
1732495616.1192327,226687,221.0
1732495618.9964879,226831,221.0
1732495634.8783402,227615,222.0
1732495642.5483596,227999,222.0
1732495649.7057784,228351,222.0
1732495661.299079,228927,223.0
1732495668.9798515,229311,223.0
1732495669.619689,229343,223.0
1732495669.9399,229359,223.0
1732495679.929212,229823,224.0
1732495687.9242027,230223,224.0
1732495689.5224013,230303,224.0
1732495694.2183664,230527,225.0
1732495696.1361854,230623,225.0
1732495705.7390308,231103,225.0
1732495706.0592537,231119,225.0
1732495708.629039,231247,225.0
1732495709.9081075,231311,225.0
1732495711.8263855,231407,225.0
1732495716.8559244,231647,226.0
1732495730.6161382,232335,226.0
